controlNumber,prefLabel,scopeNote,prefLabelEnglish,embeddingPromptEnglish,translationModel,translationPromptVersion
148202,Husdjur--juridik och lagstiftning,,animal law,A photograph depicting animal law.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148204,Husdjursavel,,animal skin,A photograph depicting animal skin.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148205,Husdjurshygien,,animal hygiene,A photograph depicting animal hygiene.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
149968,Husdjurskarantän,,animal quarantine facility,A photograph depicting animal quarantine facility.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148206,Husdjurskontroll,,animal inspection,A photograph depicting animal inspection.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148207,Husdjurslära,,animal husbandry,A photograph depicting animal husbandry.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148208,Husdjursraser,,animal_breeds,A photograph depicting animal_breeds.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148209,Husdjursräkningar,,animal ledgers,A photograph depicting animal ledgers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148210,Husdjursskötsel,,animal care,A photograph depicting animal care.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
320631,Husflyttning,,house moving,A photograph depicting house moving.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148211,Husförhör,,household interrogation,A photograph depicting household interrogation.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148212,Husförhörslängder,,household examination rolls,A photograph depicting household examination rolls.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148213,Husgeråd,"- hem och hushåll Qcam, - etnografi Mv.",household furnishings,A photograph depicting household furnishings.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
147113,Husgrunder,,house foundations,A photograph depicting house foundations.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148214,Hushåll,,household,A photograph depicting household.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
229765,Hushåll--ekonomiska aspekter,,household economics,A photograph depicting household economics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
389507,Hushållerskor,,housemaid shoes,A photograph depicting housemaid shoes.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148215,Hushållningssällskap,,agricultural society,A photograph depicting agricultural society.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
147778,Hushållsarbete,,household work,A photograph depicting household work.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148219,Hushållskemi,,household chemistry,A photograph depicting household chemistry.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
228665,Hushållslärare,Särsk Lz.,home economics teacher,A photograph depicting home economics teacher.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168741,Hushållsmaskiner,,household appliances,A photograph depicting household appliances.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148221,Hushållspapper,,household paper,A photograph depicting household paper.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148222,Hushållsskolor,,domestic schools,A photograph depicting domestic schools.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
228664,Hushållsvetenskap,Disciplin på högskolan.,home economics,A photograph depicting home economics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
214777,Husiter,"- äldre kätterier och sekter Ckbb, - kyrkohistoria Cj-fd.3.",Hussites,A photograph depicting Hussites.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148224,Huskurer,"- alternativa terapiformer Vml, - folkmedicin Mzb",herbal remedies,A photograph depicting herbal remedies.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148225,Husköp,,house purchase,A photograph depicting house purchase.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148227,Husläkare,,family doctor,A photograph depicting family doctor.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
246829,Husläkarreformen 1994,,1994 house doctor reform,A photograph depicting 1994 house doctor reform.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148228,Husmanskost,,home cooking,A photograph depicting home cooking.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148229,Husmodersföreningar,,housemother associations,A photograph depicting housemother associations.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
220154,Husmorssemester,,maternity leave,A photograph depicting maternity leave.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148231,Husmöss,,housemaids uniforms,A photograph depicting housemaids uniforms.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
392989,Husockupanter,,housebreakers,A photograph depicting housebreakers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141512,Husockupationer,,house occupations,A photograph depicting house occupations.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
157117,Husprojektering,,house design,A photograph depicting house design.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
242744,Husqvarna (motorcyklar),För verk om själva företaget se företagets namn.,Husqvarna motorcycles,A photograph depicting Husqvarna motorcycles.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
226694,Husrannsakan,,home inspection,A photograph depicting home inspection.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
398834,Hussvampar,,hussuckers,A photograph depicting hussuckers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148232,Hustavlan,,house painting,A photograph depicting house painting.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166852,Hustrumord,"- straffrätt Oeb, - kriminologi Oepa.",wife beating,A photograph depicting wife beating.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
293252,Hustrur,Hit verk om hustrur som enskilda individer och deras äktenskapliga förhållande till sina män. Allmänna verk som behandlar gifta kvinnor som grupp får ämnesordet Gifta kvinnor.,Wives,A photograph depicting Wives.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
v95j28z2s3t4vtfw,Hustrur i litteraturen,,wives in literature,A photograph depicting wives in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148233,Hustyper,,house types,A photograph depicting house types.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148234,Husvagnar,,house cars,A photograph depicting house cars.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
280301,Hutteriter,Hit verk om rörelsen hutteriter och om personer som är medlemmar av rörelsen. Se även institutionsnamnet Hutterite Brethren.,Hutterites,A photograph depicting Hutterites.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
237704,Hutu,,Hutu,A photograph depicting Hutu.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148235,Huvud,"Se även resp organ eller klinisk specialitet, t ex hjärnan Vef. Ändrat 2000-06.",Head,A photograph depicting Head.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
6k1g98st41mpwrc4,Huvud i konsten,,head in art,A photograph depicting head in art.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167724,Huvudbaner,,main banner,A photograph depicting main banner.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167806,Huvudbonader,,headbones,A photograph depicting headbones.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
379817,Huvuddukar,,main towers,A photograph depicting main towers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148237,Huvudjägare,,headhunter,A photograph depicting headhunter.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148238,Huvudlärare,,head teacher,A photograph depicting head teacher.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168706,Huvudstäder,,capitals,A photograph depicting capitals.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148239,Huvudvärk,,headache,A photograph depicting headache.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
384903,Huzuler,,rebel,A photograph depicting rebel.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148240,Hybrid-DNA-teknik,"- genetik Ueaba, - medicinsk genetik Vaa.",DNA hybridization technique,A photograph depicting DNA hybridization technique.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
273399,Hybridbilar,,hybrid cars,A photograph depicting hybrid cars.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167846,Hybridfordon,,hybrid vehicle,A photograph depicting hybrid vehicle.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
287659,Hybridisering,,hybridization,A photograph depicting hybridization.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
htshg3nmfnjvjqh5,Hybridkrigföring,"Hit verk som behandlar krigföring som använder en blandning av konventionella och oriktiga tekniker liksom terrorism och kriminella aktiviteter. | ”Hybrid-krigföring handlar bland annat om att utnyttja motståndarens svagheter genom att röra sig i gråzoner mellan krig och fred, civilt och militärt. Användningen av cyberattacker är ett exempel på detta.” Försvarsdepartementet",hybrid warfare,A photograph depicting hybrid warfare.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148242,Hybris,,hubris,A photograph depicting hubris.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
277567,Hyckleri,,deception,A photograph depicting deception.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148243,Hyddor,,shanty,A photograph depicting shanty.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148245,Hydraulik,,hydraulic system,A photograph depicting hydraulic system.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
263525,Hydrauliska maskiner,,hydraulic machines,A photograph depicting hydraulic machines.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
249865,Hydrodynamik,,hydrodynamics,A photograph depicting hydrodynamics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148250,Hydroforer,,hydrofoil,A photograph depicting hydrofoil.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148251,Hydrogeologi,,hydrogeology,A photograph depicting hydrogeology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148252,Hydrografi,"- hydrologi Ubbb, - oceanografi Ubba.",hydrography,A photograph depicting hydrography.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148254,Hydroider,,hydroids,A photograph depicting hydroids.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
358700,Hydrokultur,,hydroculture,A photograph depicting hydroculture.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148255,Hydrologi,,hydrology,A photograph depicting hydrology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148256,Hydrolys,,hydrolysis,A photograph depicting hydrolysis.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148257,Hydromaskinlära,,hydraulic engineering,A photograph depicting hydraulic engineering.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148258,Hydrometeorologi,,hydro meteorology,A photograph depicting hydro meteorology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148259,Hydrosfären,,atmosphere,A photograph depicting atmosphere.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148260,Hydrostatik,,hydrostatics,A photograph depicting hydrostatics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
162190,Hydroterapi,,hydrotherapy,A photograph depicting hydrotherapy.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148261,Hydroxider,,hydroxides,A photograph depicting hydroxides.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148263,Hyenor,,hyena,A photograph depicting hyena.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148264,Hygenstövare,,hygiene boots,A photograph depicting hygiene boots.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148265,Hyggesbehandling,,cozy treatment,A photograph depicting cozy treatment.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166539,Hyggesbränning,,cozy fire,A photograph depicting cozy fire.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148266,Hygien,,hygiene,A photograph depicting hygiene.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148269,Hygienartiklar,,hygiene items,A photograph depicting hygiene items.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148270,Hygieniska gränsvärden,"- arbetarskydd Ohae, - yrkesmedicin Vnbf.",hygiene standards,A photograph depicting hygiene standards.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
168467,Hyksos,,Hyksos,A photograph depicting Hyksos.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
166704,Hyllningsadresser,,honorspeeches,A photograph depicting honorspeeches.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
279318,Hyllningsdikter,"Se även ämnesord för resp litteraturs hyllningsdikter, t.ex. Grekiska hyllningsdikter.",tribute poems,A photograph depicting tribute poems.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148262,Hyllor,,shelves,A photograph depicting shelves.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
242548,"Hyllor--framställning, tillverkning etc.",,shelf-making,A photograph depicting shelf-making.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
160406,Hylluppställning (bibliotek),,bookshelf arrangement,A photograph depicting bookshelf arrangement.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148273,Hymner,Används både för en- och flerstämmiga hymner,hymns,A photograph depicting hymns.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148279,Hymnologi,"""interdisciplinär vetenskapsgren som från skilda utgångspunkter utforskar den kristna sången och dess historia"" (NE). | för SAB-kod se även resp samfund eller religion med tillägg .03.",Christian hymnology,A photograph depicting Christian hymnology.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148280,Hyperaktiva barn,,hyperactive children,A photograph depicting hyperactive children.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
161375,Hyperboler,,hyperboles,A photograph depicting hyperboles.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141196,Hyperglykemi,,high blood sugar,A photograph depicting high blood sugar.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
260884,Hyperlipemi,,hyperlipemia,A photograph depicting hyperlipemia.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148281,Hypermedia,,hypermedia,A photograph depicting hypermedia.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148282,Hypermedia--tekniska aspekter,,hypermedia technical aspects,A photograph depicting hypermedia technical aspects.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167369,Hypertext,,hypertext,A photograph depicting hypertext.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148283,Hypertoni,,hypertonicity,A photograph depicting hypertonicity.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
346470,Hypertrofi,,muscle enlargement,A photograph depicting muscle enlargement.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
274350,Hypertyreos,,hyperthyroidism,A photograph depicting hyperthyroidism.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148284,Hypnos,"- psykologi Doa, - psykiatri Vlbb, - anestesi Vfd.",Hypnosis,A photograph depicting Hypnosis.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148285,Hypofysen,,pituitary gland,A photograph depicting pituitary gland.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
141197,Hypoglykemi,,hypoglycemia,A photograph depicting hypoglycemia.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148286,Hypokondri,,hypochondria,A photograph depicting hypochondria.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148287,Hypotek,"- allmänt Oeaa, - fast egendom Oeabe, - lös egendom Oeace",mortgage,A photograph depicting mortgage.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148288,Hypoteksinstitut,"särsk Qz (folkbibl), Qaeb-cz--Qaeb-sz (forskbibl)",mortgage institute,A photograph depicting mortgage institute.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
155079,Hypotermi,"- anestesi Vfd, - köldskador Vfg",hypothermia,A photograph depicting hypothermia.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148289,Hypoteser,,hypotheses,A photograph depicting hypotheses.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148290,Hypotesprövning (statistik),,hypothesis testing,A photograph depicting hypothesis testing.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148292,Hypotoni,,hypotonia,A photograph depicting hypotonia.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
274399,Hypotyreos,,hypothyroidism,A photograph depicting hypothyroidism.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
6jh66jhf4mz09qq3,Hypoxi (vatten),,water hypoxia,A photograph depicting water hypoxia.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
152276,Hyra,,rent,A photograph depicting rent.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148296,Hyraxar,,hyraxarium,A photograph depicting hyraxarium.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148297,Hyrbilar,,rental cars,A photograph depicting rental cars.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
161376,Hyresavtal,,rental agreement,A photograph depicting rental agreement.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148299,Hyresgäster,,renters,A photograph depicting renters.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148300,Hyresgäster--juridik och lagstiftning,,tenant laws,A photograph depicting tenant laws.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148301,Hyresgästföreningar,,tenant unions,A photograph depicting tenant unions.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148303,Hyresgästinflytande,,tenant influx,A photograph depicting tenant influx.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148304,Hyreshus,Tidigare utan SAB-kod. Ändrat 2003-09-02.,rental house,A photograph depicting rental house.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148306,Hyreslägenheter,,rental apartments,A photograph depicting rental apartments.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148308,Hyresmarknaden,,rent market,A photograph depicting rent market.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148309,Hyresreglering,,rent control,A photograph depicting rent control.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148310,Hyresrätt,,rent contract,A photograph depicting rent contract.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148311,Hyresvärdar,,landlords,A photograph depicting landlords.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148312,Hyresvärdar--juridik och lagstiftning,,landlord laws,A photograph depicting landlord laws.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
323350,Hyrkuskar,Historisk term. Underindelas inte med - historia.,hunting horn,A photograph depicting hunting horn.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148313,Hysteri,"Historisk, psykodynamisk benämning på en oregelbunden, psykisk reaktion, kännetecknad av olika återkommande kroppsliga symtom, utan att någon egentlig fysisk åkomma föreligger. Begreppet används inte längre som diagnosterm.",hysteria,A photograph depicting hysteria.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
4p9g3fsl241p4j64,Hysteri i filmen,,hysteria in film,A photograph depicting hysteria in film.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
227691,Hysteri i litteraturen,,hysteria in literature,A photograph depicting hysteria in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148314,Hyttor,,cabins,A photograph depicting cabins.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148315,Hyvelmaskiner,,tiller machines,A photograph depicting tiller machines.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148318,Hyvlar,"finsnickeri Phi.03, - träbearbetning Phd.03.",wooden snuffboxes,A photograph depicting wooden snuffboxes.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148319,Hyvlar--historia,,Hyvl history,A photograph depicting Hyvl history.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148320,Hyvling,,Hyvling,A photograph depicting Hyvling.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
239612,Häckar,,hackers,A photograph depicting hackers.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148349,Häcklöpning,,duck hunting,A photograph depicting duck hunting.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148350,Häckning,,hacking,A photograph depicting hacking.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148351,Hädelse,,celebration,A photograph depicting celebration.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
230929,Hädelse i litteraturen,,Literary event,A photograph depicting Literary event.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148353,Hädelse--juridik och lagstiftning,,legal proceedings,A photograph depicting legal proceedings.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148352,Hädelse--juridik och lagstiftning--historia,,legal history,A photograph depicting legal history.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
170408,Hägg,,hemp,A photograph depicting hemp.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148354,Hägrar,,hanging device,A photograph depicting hanging device.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148355,Hägringar,,hanging gardens,A photograph depicting hanging gardens.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
163703,Häkten,,hackle,A photograph depicting hackle.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148356,Häktning,,imprisonment,A photograph depicting imprisonment.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
159385,Häleri,,harrowing_tool,A photograph depicting harrowing_tool.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
410460,Hälleflundra,,Hälleflundra,A photograph depicting Hälleflundra.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
236216,Hälleforshund,,hallerja-type dog,A photograph depicting hallerja-type dog.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148358,Hällkistor,,stone chests,A photograph depicting stone chests.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
161378,Hällmålningar,,rock paintings,A photograph depicting rock paintings.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148360,Hällristningar,,rock carvings,A photograph depicting rock carvings.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148362,Hälsa,Se även underindelningen - hälsoaspekter.,health方面的问题已经解决了，但是根据要求只返回标签且不包含解释或标点符号，所以直接给出：,A photograph depicting health方面的问题已经解决了，但是根据要求只返回标签且不包含解释或标点符号，所以直接给出：.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
409799,Hälsa i litteraturen,,health in literature,A photograph depicting health in literature.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
253903,Hälsa i reklamen,,health in advertising,A photograph depicting health in advertising.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
173564,Hälsa--attityder till,,health attitudes,A photograph depicting health attitudes.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
172045,Hälsingegårdar,"- arkitektur Icd-ccb, - etnologi Mub-ccb",Hälsingegårdar farmhouse architecture,A photograph depicting Hälsingegårdar farmhouse architecture.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
239613,Hälsingemålningar,,Hälsing paintings,A photograph depicting Hälsing paintings.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148367,Hälsningar,,greetings,A photograph depicting greetings.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167499,Hälso- och sjukvård,,healthcare,A photograph depicting healthcare.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
153770,Hälso- och sjukvård--juridik och lagstiftning,,healthcare law and legislation,A photograph depicting healthcare law and legislation.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
jzqq0104gzgrhlqz,Hälso- och sjukvård--politiska aspekter,,healthcare politics,A photograph depicting healthcare politics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
271329,Hälso- och sjukvård--säkerhetsaspekter,,healthcare safety aspects,A photograph depicting healthcare safety aspects.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
255911,Hälso- och sjukvårdsinformatik,,healthcare informatics,A photograph depicting healthcare informatics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
167500,hälsoaspekter,Underindelning under allmänna ämnesord.,health aspects,A photograph depicting health aspects.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
173563,Hälsobeteende,"Behaviors expressed by individuals to protect, maintain or promote their health status. For example, proper diet, and appropriate exercise are activities perceived to influence health status. Life style is closely associated with health behavior and factors influencing life style are socioeconomic, educational and cultural. (MeSH)",health behaviors,A photograph depicting health behaviors.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148370,Hälsobrunnar,,health springs,A photograph depicting health springs.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
332559,Hälsodrycker,,health drinks,A photograph depicting health drinks.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
161380,Hälsoekonomi,,health economics,A photograph depicting health economics.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
174353,Hälsofrämjande arbete,,health promotion work,A photograph depicting health promotion work.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
250216,Hälsofrågor i massmedia,,health issues in media,A photograph depicting health issues in media.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148372,Hälsohem,,health home,A photograph depicting health home.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
347802,Hälsoindikatorer,,health indicators,A photograph depicting health indicators.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
173565,Hälsokampanjer,,health campaigns,A photograph depicting health campaigns.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
148374,Hälsokost,matlagning Qcab; sjukdomsbehandling Vmb,health cuisine,A photograph depicting health cuisine.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
384904,Hälsolitteracitet,"Förmåga och färdighet att förvärva, förstå, värdera och använda information som bidrar till bibehållen eller förbättrad hälsa.",health literacy,A photograph depicting health literacy.,Qwen/Qwen2.5-14B-Instruct,sao_image_tag_translation_v1
